,pIC50,standard_units,molecule_dictionary.chembl_id,canonical_smiles
102,5.039999923502187,nM,CHEMBL110945,COc1cc2ncc(C#N)c(Nc3ccc(O)c(Cl)c3)c2cc1OC
103,4.849999859991125,nM,CHEMBL111033,COc1cc2ncc(C#N)c(Nc3cccc(C#N)c3)c2cc1OC
104,7.522878745280337,nM,CHEMBL111197,COc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1
105,5.169999984192582,nM,CHEMBL111222,COCOc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1OCOC
106,5.749999855918707,nM,CHEMBL111307,COc1cc2ncc(C#N)c(Nc3ccc(C)c(Br)c3)c2cc1OC
107,6.318758762624412,nM,CHEMBL111339,Cc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1
108,5.886056647693163,nM,CHEMBL111365,COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cn1
109,6.173925197299174,nM,CHEMBL111434,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(Br)c3)nc21
110,4.6700000181810175,nM,CHEMBL111443,CCOc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1OC
111,6.060001790087838,nM,CHEMBL111520,COc1cc2ncc(C#N)c(Nc3cccc([N+](=O)[O-])c3)c2cc1OC
112,6.459996055149974,nM,CHEMBL111586,N#Cc1cnc2cc(O)c(O)cc2c1Nc1cccc(Br)c1
113,4.860000083248981,nM,CHEMBL111664,COc1cc2ncc(C#N)c(Nc3ccc(Cl)cc3F)c2cc1OC
114,6.799998134593398,nM,CHEMBL111688,COc1cc2ncc(C#N)c(Nc3ccc(F)c(C(F)(F)F)c3)c2cc1OC
115,6.4399976732266335,nM,CHEMBL112096,COc1cc2ncc(C#N)c(Nc3ccccc3C(C)C)c2cc1OC
116,6.080001969035981,nM,CHEMBL112225,COc1cc2ncc(C#N)c(Nc3cccc(Br)c3C)c2cc1OC
117,5.060480747381382,nM,CHEMBL112925,Nc1ccc(-c2cc(=O)c3cc(N)ccc3o2)cc1
118,6.6020599913279625,nM,CHEMBL113023,COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1C
119,7.096910013008056,nM,CHEMBL113070,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(CCCC(=O)O)cc3)nc21
120,5.292429823902063,nM,CHEMBL113185,COc1cc(Nc2nccc(-c3ccc(NCCN)nc3)n2)cc(OC)c1OC
121,5.660000322371772,nM,CHEMBL113535,COc1cc2ncc(C#N)c(Nc3cccc(N=[N+]=[N-])c3)c2cc1OC
122,6.0,nM,CHEMBL113863,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCCCCCC(=O)O)nc21
123,6.6020599913279625,nM,CHEMBL113900,CC(C)N(CC#CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1)C(C)C
124,4.820000071285179,nM,CHEMBL114446,COc1cc2ncc(C(N)=O)c(Nc3cccc(Br)c3)c2cc1OC
125,6.119998611678232,nM,CHEMBL114496,COc1cc2ncc(C#N)c(Nc3cccc(SC)c3)c2cc1OC
126,6.890016705180107,nM,CHEMBL115187,CCCN(CC#CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1)CCC
127,7.251811972993799,nM,CHEMBL115745,COc1cc2ncnc(NCc3ccccc3)c2cc1O
